(-1, -1, -1, -1, 0)
(-1, -1, 129, 10, 1)
(-1, -1, 129, 3, 4)
(-1, -1, 128, -1, 4)
(-1, -1, 128, -1, 0)
(-1, -1, 129, 29, 1)
(-1, 129, 127, 1, 10)
(-1, 128, 129, 3, 2)
(-1, 128, 128, -1, 2)
(-1, 129, 130, 29, 1)
(-1, 129, 126, 6, 2)
(-1, 128, 129, 3, 4)
(-1, 129, 128, 25, 4)
(-1, 129, 127, 6, 2)
(-1, 129, 129, 29, 4)
(-1, 128, 128, -1, 2)
(-1, 129, 127, 6, 2)
(-1, 129, 129, 29, 4)
(-1, 129, 121, 7, 1)
(-1, 129, 128, 28, 4)
(-1, 128, 128, -1, 1)
(-1, 129, 127, 8, 1)
(-1, 128, 129, 2, 2)
(-1, 129, 135, 3, 4)
(-1, 129, 128, 21, 9)
(-1, 130, 128, 8, 3)
(-1, 128, 128, -1, 11)
(-1, 128, 128, -1, 11)
(-1, 129, 133, 4, 3)
(-1, 129, 128, 21, 14)
(-1, 130, 129, 7, 3)
(-1, 128, 128, -1, 3)
(-1, 129, 129, 2, 4)
(-1, 128, 128, -1, 1)
(-1, 129, 128, 24, 9)
(-1, 129, 128, 9, 9)
(-1, 128, 128, -1, 14)
(-1, 129, 128, 26, 3)
(-1, 131, 128, 7, 14)
(-1, 129, 128, 27, 4)
(-1, 135, 124, 9, 9)
(-1, 129, 128, 3, 1)
(-1, 129, 128, 23, 3)
(-1, 129, 127, 2, 1)
(-1, 129, 128, 1, 1)
(-1, 133, 130, 7, 1)
(-1, 129, 128, 21, 0)
(-1, 129, 129, 4, 4)
(-1, 131, 128, 6, 2)
(-1, 129, 127, 3, 4)
(-1, 129, 127, 6, 1)
(-1, 128, 128, -1, 4)
(-1, 128, 128, -1, 4)
(-1, 128, 128, -1, 4)
(-1, 129, 128, 11, 1)
(-1, 129, 128, 1, 1)
(-1, 129, 129, 3, 3)
(-1, 129, 123, 3, 4)
(-1, 128, 129, 4, 9)
(-1, 128, 128, -1, 9)
(-1, 129, 128, 3, 4)
(-1, 129, 128, 1, 1)
(-1, 129, 139, 4, 3)
(-1, 129, 128, 10, 4)
(-1, 129, 121, 3, 3)
(-1, 129, 128, 1, 1)
(-1, 129, 130, 2, 9)
(-1, 128, 128, -1, 5)
(-1, 128, 129, 3, 9)
(-1, 129, 127, 4, 3)
(-1, 131, 140, 4, 4)
(-1, 129, 127, 12, 1)
(-1, 131, 118, 6, 3)
(-1, 129, 119, 2, 9)
(-1, 128, 129, 4, 1)
(-1, 131, 129, 3, 3)
(-1, 128, 128, -1, 4)
(-1, 129, 127, 3, 4)
(-1, 129, 128, 13, 4)
(-1, 129, 128, 3, 2)
(-1, 128, 129, 3, 3)
(-1, 128, 128, -1, 4)
(-1, 133, 122, 7, 3)
(-1, 128, 128, -1, 5)
(-1, 128, 128, -1, 11)
(-1, 128, 128, -1, 1)
(-1, 129, 128, 3, 1)
(-1, 129, 127, 11, 0)
(-1, 129, 129, 3, 1)
(-1, 133, 121, 8, 3)
(-1, 128, 129, 4, 6)
(-1, 128, 129, 2, 4)
(-1, 129, 127, 5, 1)
(-1, 129, 128, 13, 0)
(-1, 130, 121, 7, 5)
(-1, 129, 121, 1, 8)
(-1, 128, 129, 3, 6)
(-1, 129, 127, 3, 1)
(-1, 129, 127, 19, 0)
(-1, 129, 129, 2, 4)
(-1, 129, 127, 4, 5)
(-1, 129, 127, 4, 5)
(-1, 128, 129, 3, 4)
(-1, 131, 136, 6, 13)
(-1, 129, 128, 5, 4)
(-1, 135, 135, 11, 3)
(-1, 128, 128, -1, 3)
(-1, 129, 128, 2, 7)
(-1, 129, 124, 4, 6)
(-1, 129, 132, 4, 4)
(-1, 129, 127, 4, 12)
(-1, 128, 128, -1, 12)
(-1, 129, 129, 3, 4)
(-1, 128, 128, -1, 4)
(-1, 143, 141, 13, 0)
(-1, 129, 127, 2, 7)
(-1, 131, 124, 2, 7)
(-1, 128, 129, 3, 8)
(-1, 129, 128, 2, 6)
(-1, 128, 128, -1, 3)
(-1, 128, 129, 2, 11)
(-1, 129, 128, 4, 4)
(-1, 132, 155, 7, 4)
(-1, 129, 128, 11, 7)
(-1, 129, 128, 6, 6)
(-1, 128, 129, 3, 13)
(-1, 128, 128, -1, 11)
(-1, 129, 128, 4, 4)
(-1, 129, 127, 3, 2)
(-1, 129, 128, 3, 2)
(-1, 129, 128, 19, 5)
(-1, 128, 128, -1, 8)
(-1, 129, 128, 7, 3)
(-1, 129, 127, 1, 1)
(-1, 129, 129, 3, 4)
(-1, 128, 128, -1, 4)
(-1, 130, 129, 3, 3)
(-1, 129, 128, 8, 5)
(-1, 128, 128, -1, 8)
(-1, 129, 128, 1, 5)
(-1, 129, 127, 5, 8)
(-1, 129, 128, 3, 12)
(-1, 129, 128, 3, 3)
(-1, 128, 128, -1, 13)
(-1, 129, 128, 3, 1)
(-1, 129, 126, 3, 4)
(-1, 129, 128, 11, 7)
(-1, 128, 128, -1, 6)
(-1, 133, 128, 3, 6)
(-1, 128, 133, 3, 8)
(-1, 129, 129, 3, 5)
(-1, 129, 129, 2, 15)
(-1, 131, 128, 2, 1)
(-1, 129, 127, 3, 1)
(-1, 131, 128, 3, 1)
(-1, 129, 128, 11, 7)
(-1, 130, 128, 6, 6)
(-1, 130, 129, 4, 5)
(-1, 131, 129, 4, 3)
(-1, 129, 128, 3, 3)
(-1, 143, 142, 13, 1)
(-1, 129, 128, 1, 8)
(-1, 133, 128, 9, 5)
(-1, 128, 128, -1, 6)
(-1, 131, 119, 3, 4)
(-1, 129, 128, 19, 1)
(-1, 139, 128, 2, 5)
(-1, 131, 119, 3, 8)
(-1, 129, 128, 5, 6)
(-1, 151, 130, 6, 11)
(-1, 129, 124, 5, 3)
(-1, 129, 127, 13, 2)
(-1, 132, 124, 5, 6)
(-1, 128, 129, 4, 1)
(-1, 129, 127, 3, 2)
(-1, 129, 129, 3, 1)
(-1, 141, 144, 7, 3)
(-1, 143, 132, 12, 5)
(-1, 129, 130, 8, 4)
(-1, 129, 128, 6, 3)
(-1, 129, 126, 13, 0)
(-1, 129, 128, 2, 4)
(-1, 129, 128, 4, 1)
(-1, 128, 128, -1, 9)
(-1, 129, 128, 2, 6)
(-1, 129, 130, 3, 5)
(-1, 129, 128, 7, 4)
(-1, 129, 124, 3, 3)
(-1, 149, 128, 13, 1)
(-1, 143, 128, 4, 1)
(-1, 128, 128, -1, 9)
(-1, 129, 130, 6, 3)
(-1, 128, 128, -1, 1)
(-1, 143, 128, 19, 0)
(-1, 129, 129, 5, 1)
(-1, 128, 129, 4, 3)
(-1, 129, 130, 2, 3)
(-1, 128, 129, 3, 4)
(-1, 150, 132, 23, 4)
(-1, 129, 128, 5, 3)
(-1, 129, 114, 7, 3)
(-1, 129, 128, 21, 0)
(-1, 149, 131, 4, 2)
(-1, 129, 127, 4, 0)
(-1, 129, 129, 29, 3)
(-1, 128, 128, -1, 3)
(-1, 128, 131, 4, 0)
(-1, 129, 128, 8, 3)
(-1, 129, 141, 3, 2)
(-1, 133, 128, 3, 0)
(-1, 128, 129, 25, 0)
(-1, 129, 144, 19, 0)
(-1, -1, -1, -1, -1)
